eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
903.52,-20.46,290,9.918795e-05,0.0,1.6339464,-0.0007028901,0.052566342,5.960464477539063e-08,181,23168,171.75514897808898,46336
903.52,-20.46,283,0.00031414695,0.0,1.6436032,0.0006603163,0.04031356,1.7881393432617188e-07,182,23296,172.65723120002076,46592
906.5294117647059,-20.431372549019606,274,0.00016276751,0.0,1.6478541,-0.0006255131,0.0762614,0.005637168884277344,183,23424,173.59152474009898,46848
906.5294117647059,-20.431372549019606,280,0.000613633,0.005859375,1.6389034,-0.0042186487,0.045960296,0.0,184,23552,174.50403562106658,47104
904.9230769230769,-20.442307692307693,284,0.001429922,0.099609375,1.6055509,-0.0047276146,0.085082404,0.007855653762817383,185,23680,175.40608118707314,47360
904.9230769230769,-20.442307692307693,256,0.00032239442,0.009765625,1.5779419,-0.002002572,0.03986207,0.0,186,23808,176.40522447100375,47616
904.9230769230769,-20.442307692307693,280,0.00035739475,0.0,1.5654789,-0.00044184324,0.04515849,0.0,187,23936,177.31917688401882,47872
904.9230769230769,-20.442307692307693,285,0.00054702675,0.0048828125,1.5636288,-0.003422572,0.049637236,0.0,188,24064,178.21484310901724,48128
902.1320754716982,-20.452830188679247,281,0.0018990918,0.13183594,1.6085271,-0.0040941946,0.08710487,0.00477224588394165,189,24192,179.124834684073,48384
902.1320754716982,-20.452830188679247,279,8.659728e-05,0.0,1.6257919,-0.0002697819,0.042647403,5.960464477539063e-08,190,24320,180.04183984000701,48640
899.574074074074,-20.462962962962962,276,0.0004368053,0.0,1.6335262,-0.0023334918,0.08495536,0.006999790668487549,191,24448,180.96656825905666,48896
899.574074074074,-20.462962962962962,290,0.0011983432,0.053710938,1.6457944,-0.004584722,0.04862545,5.960464477539063e-08,192,24576,181.8475013980642,49152
899.574074074074,-20.462962962962962,281,0.00035227498,0.0,1.6548536,-0.0021445258,0.038926125,1.1920928955078125e-07,193,24704,182.75793595903087,49408
899.574074074074,-20.462962962962962,282,0.00055765203,0.0078125,1.6383276,-0.00089494104,0.048525695,0.0,194,24832,183.66331605310552,49664
